level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1086	834	-1	
2	1	1	0	0	0	27	136	878	432	-1	
3	1	1	1	0	0	27	136	878	432	-1	
4	1	1	1	1	0	27	136	603	72	-1	
5	1	1	1	1	1	27	136	388	72	90.378693	11/03/2025
5	1	1	1	1	2	443	140	187	57	91.850952	08:00
4	1	1	1	2	0	27	256	603	72	-1	
5	1	1	1	2	1	27	256	388	72	90.165291	10/03/2025
5	1	1	1	2	2	443	260	187	57	92.418526	20:30
4	1	1	1	3	0	27	375	878	73	-1	
5	1	1	1	3	1	27	376	388	72	91.260918	10/03/2025
5	1	1	1	3	2	447	380	180	57	90.611839	19:41
5	1	1	1	3	3	682	375	223	73	50.791313	(VIYT)
4	1	1	1	4	0	27	496	603	72	-1	
5	1	1	1	4	1	27	496	388	72	89.506195	10/03/2025
5	1	1	1	4	2	447	500	183	57	92.397141	19:40
